predictor,OLS sd,Ridge sd,reduction %,OLS sign flips %
journey_distance_km,1.6446300201591675,0.8639777686693391,47.46673974820652,0.0
road_type_highway,1.5068707991215968,0.9088468411643903,39.68647864872117,0.0
traffic_index,1.2094919281700411,0.7581130698603329,37.31970820116539,0.0
distance_proxy,1.1800103029883784,0.7675214696948547,34.95637557137382,26.333333333333332
road_type_express,1.074954972800838,0.747499720416939,30.462229643973025,0.33333333333333337
road_type_local,1.0404015850623751,0.7423428172602038,28.64843461232346,6.666666666666667
traffic_proxy,0.9886882098665268,0.7009375161293412,29.10429100555696,41.333333333333336
previous_journey_time_min,0.9500499214970912,0.7019629881354008,26.11304182529213,17.666666666666668
average_speed_kmh,0.6195254325360982,0.5397166424047691,12.88224598054395,27.666666666666668
weather_score,0.46045487661673573,0.4449372179187237,3.3700715284047944,0.0
passenger_rating,0.4482671189868304,0.4162218907849898,7.14869033318103,44.0
random_noise_feature,0.42722067970592786,0.4025046353336033,5.785310858392323,39.0
driver_experience_years,0.42647688517186993,0.4130621355380129,3.145481056599564,38.666666666666664
road_slope_pct,0.41625291070248893,0.39521901733130654,5.053152261610505,3.6666666666666665
time_of_day_hours,0.4132707349004018,0.3939393262791358,4.677662120431747,41.333333333333336
