Model,alpha,CV RMSE,Train RMSE,Test RMSE,Test MAE,Train R2,Test R2
Linear Regression (OLS),,5.711852076060382,5.651790923129363,6.236597962009908,4.380056706132526,0.8222851064070287,0.7998995196273058
Ridge Regression,1.0,5.7117007738876495,5.651901963769245,6.235344802956619,4.377537095845258,0.8222781232154627,0.7999799264570889
Lasso Regression,0.003981071705534973,5.711706839374589,5.651896365451134,6.235479136629818,4.378121377775116,0.8222784752891947,0.7999713079375113
