Model,alpha,predictors kept,Test RMSE,Test R2
OLS (all 15 predictors),,15,6.236597962009908,0.7998995196273058
Lasso (CV-optimal),0.003919406774847221,15,6.2354974811671955,0.7999701309824978
Lasso (1-SE rule),0.2868316813342009,8,6.36800296552747,0.7913784593671715
