,Linear Regression (OLS),Ridge Regression,Lasso Regression
journey_distance_km,9.537073034211492,9.442238233089709,9.483587800135652
traffic_index,6.811164416635049,6.757264118806147,6.755614284431027
road_type_highway,-4.111728693766097,-4.071042204079909,-4.06618516732453
road_type_express,-3.034234032240673,-3.0112231468851562,-3.0067794068662432
weather_score,1.828723573261698,1.8254017248123355,1.8252976158032337
road_type_local,1.4755625880097074,1.4883792496460138,1.478287549562334
distance_proxy,-0.9316530693786794,-0.872695589493179,-0.8801843012280262
previous_journey_time_min,0.9069131785990818,0.9462022726059822,0.9111877252599885
road_slope_pct,0.7583396762597755,0.7577698499360191,0.7548998586930941
average_speed_kmh,0.31303956299832963,0.30068005454375396,0.2945799877047006
traffic_proxy,-0.2294022987630278,-0.2010795439993439,-0.19042406740310416
driver_experience_years,0.15392508711970215,0.1523560465574821,0.14770297644676897
random_noise_feature,-0.13886082924550538,-0.13846078741169857,-0.13414253496041087
time_of_day_hours,0.07894907167539351,0.07623488570521579,0.07246906791044824
passenger_rating,-0.021672499226372745,-0.021864985064378378,-0.01767991765871446
