,OLS,Ridge,Lasso
PctImmigRecent,10.930679903721192,1.0822049364538542,0.0
PctOccupManu,9.570621803750903,-5.951216474304529,-0.0
OtherPerCap,9.326030980290867,8.090007981846176,5.405648005249649
PctNotHSGrad,9.09833409823613,14.50143729240051,0.0
pctWFarmSelf,8.04383502124071,-3.4709027749569166,0.0
blackPerCap,-7.935717577079572,-12.845534049231247,-8.322080631028363
PctPopUnderPov,7.865422251062228,5.830277665745339,0.0
LemasPctPolicOnPatr,7.861795494578402,-13.036185461277139,-13.164406428559328
LemasTotReqPerPop,7.740629252610098,7.148681113068798,0.0
PctUsePubTrans,7.4750850651772325,15.747598730567363,1.7205357464368845
PctPolicWhite,-6.968406183322699,-6.109364916692896,-0.0
LandArea,6.472237714634328,9.97230739717523,6.419282078839301
PersPerFam,6.015188637325146,6.501366136092277,0.0
PolicAveOTWorked,-5.374416360327974,2.508539483909629,0.0
NumKindsDrugsSeiz,-4.969322098552169,-4.204222903244248,-0.9440589328696253
PctSameHouse85,-4.044911982591742,6.1968320811279245,0.0
RentQrange,3.749914661350058,20.287762362704317,13.743942983176927
PctTeen2Par,3.57671380886436,-27.072936380901062,-0.0
indianPerCap,-3.3695750981763695,-1.5237847922910412,-0.0
racePctHisp,3.205906501551617,1.3245433608254695,0.0
LemasPctOfficDrugUn,0.5533051609832746,15.458890399938047,6.580930141764322
