model,alpha,MAE,RMSE,R2,non-zero coefficients,sum |coef|,largest |coef|
OLS,,20069.219182283858,30056.123577195453,0.8710448664379801,253,2340987.9747163467,323230.4499307691
Ridge,28.683168133420118,18493.3801706859,29673.302194900487,0.8743089196249159,253,736891.8056272704,17031.547169919962
Lasso,235.98334667821936,17953.142966979696,29261.883459674747,0.877770157289256,78,451854.7133539888,37992.73249663329
