k,inertia,silhouette,largest cluster,inertia drop %
2,6962.188794533187,0.2905009728753731,0.647,
3,5365.531413821448,0.3202022784098924,0.48033333333333333,22.933267508710166
4,4131.881804017885,0.32453797152269853,0.48933333333333334,22.992123513166263
5,3428.433668731411,0.3427616715313217,0.4483333333333333,17.02488523757948
6,2993.629338313044,0.30107449788552176,0.32666666666666666,12.68230254486018
7,2655.1253481094786,0.27598320444148067,0.24133333333333334,11.307478379882452
8,2373.6743540533516,0.27849470268770965,0.24633333333333332,10.600290274676782
